time,sampling,quantize,encode
0.0,0.0,0,00000000
0.001,0.314,8,00001000
0.002,0.627,16,00010000
0.003,0.937,23,00010111
0.004,1.243,31,00011111
0.005,1.545,39,00100111
0.006,1.841,47,00101111
0.007,2.129,54,00110110
0.008,2.409,61,00111101
0.009000000000000001,2.679,68,01000100
0.01,2.939,75,01001011
0.011,3.187,81,01010001
0.012,3.423,87,01010111
0.013000000000000001,3.645,93,01011101
0.014,3.853,98,01100010
0.015,4.045,103,01100111
0.016,4.222,108,01101100
0.017,4.382,112,01110000
0.018000000000000002,4.524,115,01110011
0.019,4.649,119,01110111
0.02,4.755,121,01111001
0.021,4.843,123,01111011
0.022,4.911,125,01111101
0.023,4.961,127,01111111
0.024,4.99,127,01111111
0.025,5.0,127,01111111
0.026000000000000002,4.99,127,01111111
0.027,4.961,127,01111111
0.028,4.911,125,01111101
0.029,4.843,123,01111011
0.03,4.755,121,01111001
0.031,4.649,119,01110111
0.032,4.524,115,01110011
0.033,4.382,112,01110000
0.034,4.222,108,01101100
0.035,4.045,103,01100111
0.036000000000000004,3.853,98,01100010
0.037,3.645,93,01011101
0.038,3.423,87,01010111
0.039,3.187,81,01010001
0.04,2.939,75,01001011
0.041,2.679,68,01000100
0.042,2.409,61,00111101
0.043000000000000003,2.129,54,00110110
0.044,1.841,47,00101111
0.045,1.545,39,00100111
0.046,1.243,31,00011111
0.047,0.937,23,00010111
0.048,0.627,16,00010000
0.049,0.314,8,00001000
0.05,0.0,0,00000000
0.051000000000000004,-0.314,-9,11110111
0.052000000000000005,-0.627,-17,11101111
0.053,-0.937,-24,11101000
0.054,-1.243,-32,11100000
0.055,-1.545,-40,11011000
0.056,-1.841,-48,11010000
0.057,-2.129,-55,11001001
0.058,-2.409,-62,11000010
0.059000000000000004,-2.679,-69,10111011
0.06,-2.939,-76,10110100
0.061,-3.187,-82,10101110
0.062,-3.423,-88,10101000
0.063,-3.645,-94,10100010
0.064,-3.853,-99,10011101
0.065,-4.045,-104,10011000
0.066,-4.222,-109,10010011
0.067,-4.382,-113,10001111
0.068,-4.524,-116,10001100
0.069,-4.649,-120,10001000
0.07,-4.755,-122,10000110
0.07100000000000001,-4.843,-124,10000100
0.07200000000000001,-4.911,-126,10000010
0.073,-4.961,-127,10000001
0.074,-4.99,-128,10000000
0.075,-5.0,-128,10000000
0.076,-4.99,-128,10000000
0.077,-4.961,-127,10000001
0.078,-4.911,-126,10000010
0.079,-4.843,-124,10000100
0.08,-4.755,-122,10000110
