time,sampling,quantize,encode,noise
0.0,-0.162,-5,11111011,-0.162
0.001,0.144,3,00000011,-0.17
0.002,0.96,24,00011000,0.333
0.003,0.599,15,00001111,-0.338
0.004,1.334,34,00100010,0.091
0.005,1.7049999999999998,43,00101011,0.16
0.006,2.014,51,00110011,0.173
0.007,2.209,56,00111000,0.08
0.008,2.63,67,01000011,0.221
0.009000000000000001,2.9349999999999996,75,01001011,0.256
0.01,3.077,78,01001110,0.138
0.011,2.8369999999999997,72,01001000,-0.35
0.012,3.678,94,01011110,0.255
0.013000000000000001,3.975,101,01100101,0.33
0.014,3.362,86,01010110,-0.491
0.015,4.21,107,01101011,0.165
0.016,3.7690000000000006,96,01100000,-0.453
0.017,4.739999999999999,121,01111001,0.358
0.018000000000000002,4.953,126,01111110,0.429
0.019,4.832,123,01111011,0.183
0.02,5.019,127,01111111,0.264
0.021,4.99,127,01111111,0.147
0.022,4.821999999999999,123,01111011,-0.089
0.023,4.587000000000001,117,01110101,-0.374
0.024,4.682,119,01110111,-0.308
0.025,5.295,127,01111111,0.295
0.026000000000000002,5.227,127,01111111,0.237
0.027,4.551,116,01110100,-0.41
0.028,5.034999999999999,127,01111111,0.124
0.029,5.122,127,01111111,0.279
0.03,5.12,127,01111111,0.365
0.031,5.023,127,01111111,0.374
0.032,4.395,112,01110000,-0.129
0.033,4.305,110,01101110,-0.077
0.034,4.001,102,01100110,-0.221
0.035,3.717,95,01011111,-0.328
0.036000000000000004,4.04,103,01100111,0.187
0.037,4.139,105,01101001,0.494
0.038,3.612,92,01011100,0.189
0.039,3.283,84,01010100,0.096
0.04,2.97,76,01001100,0.031
0.041,3.147,80,01010000,0.468
0.042,2.6679999999999997,68,01000100,0.259
0.043000000000000003,2.505,64,01000000,0.376
0.044,2.339,59,00111011,0.498
0.045,1.426,36,00100100,-0.119
0.046,1.161,29,00011101,-0.082
0.047,0.809,20,00010100,-0.128
0.048,0.646,16,00010000,0.019
0.049,0.6950000000000001,17,00010001,0.381
0.05,-0.183,-5,11111011,-0.183
0.051000000000000004,0.017000000000000015,0,00000000,0.331
0.052000000000000005,-0.15000000000000002,-4,11111100,0.477
0.053,-0.6340000000000001,-17,11101111,0.303
0.054,-0.9220000000000002,-24,11101000,0.321
0.055,-1.0919999999999999,-28,11100100,0.453
0.056,-1.491,-39,11011001,0.35
0.057,-2.404,-62,11000010,-0.275
0.058,-2.3659999999999997,-61,11000011,0.043
