time,sampling,quantize,encode,noise sampling
0.0,-0.162,-5,11111011,-0.162
0.001,0.144,3,00000011,0.144
0.002,0.96,24,00011000,0.96
0.003,0.599,15,00001111,0.599
0.004,1.334,34,00100010,1.334
0.005,1.7049999999999998,43,00101011,1.7049999999999998
0.006,2.014,51,00110011,2.014
0.007,2.209,56,00111000,2.209
0.008,2.63,67,01000011,2.63
0.009000000000000001,2.9349999999999996,75,01001011,2.9349999999999996
0.01,2.801,71,01000111,3.077
0.011,3.046,77,01001101,2.8369999999999997
0.012,3.269,83,01010011,3.678
0.013000000000000001,3.442,88,01011000,3.975
0.014,3.636,93,01011101,3.362
0.015,3.825,97,01100001,4.21
0.016,3.993,102,01100110,3.7690000000000006
0.017,4.113,105,01101001,4.739999999999999
0.018000000000000002,4.248,108,01101100,4.953
0.019,4.367,111,01101111,4.832
0.02,4.471,114,01110010,5.019
0.021,4.563,116,01110100,4.99
0.022,4.637,118,01110110,4.821999999999999
0.023,4.667,119,01110111,4.587000000000001
0.024,4.669,119,01110111,4.682
0.025,4.685,119,01110111,5.295
0.026000000000000002,4.677,119,01110111,5.227
0.027,4.695,120,01111000,4.551
0.028,4.641,118,01110110,5.034999999999999
0.029,4.562,116,01110100,5.122
0.03,4.473,114,01110010,5.12
0.031,4.384,112,01110000,5.023
0.032,4.273,109,01101101,4.395
0.033,4.163,106,01101010,4.305
0.034,4.056,103,01100111,4.001
0.035,3.901,99,01100011,3.717
0.036000000000000004,3.704,94,01011110,4.04
0.037,3.494,89,01011001,4.139
0.038,3.308,84,01010100,3.612
0.039,3.101,79,01001111,3.283
0.04,2.848,72,01001000,2.97
0.041,2.605,66,01000010,3.147
0.042,2.359,60,00111100,2.6679999999999997
0.043000000000000003,2.12,54,00110110,2.505
0.044,1.871,47,00101111,2.339
0.045,1.628,41,00101001,1.426
0.046,1.38,35,00100011,1.161
0.047,1.073,27,00011011,0.809
0.048,0.764,19,00010011,0.646
0.049,0.452,11,00001011,0.6950000000000001
0.05,0.168,4,00000100,-0.183
0.051000000000000004,-0.113,-3,11111101,0.017000000000000015
0.052000000000000005,-0.407,-11,11110101,-0.15000000000000002
0.053,-0.714,-19,11101101,-0.6340000000000001
0.054,-1.006,-26,11100110,-0.9220000000000002
0.055,-1.321,-34,11011110,-1.0919999999999999
0.056,-1.602,-41,11010111,-1.491
0.057,-1.884,-49,11001111,-2.404
0.058,-2.151,-56,11001000,-2.3659999999999997
0.059000000000000004,-2.416,-62,11000010,-2.9379999999999997
0.06,-2.693,-69,10111011,-2.678
0.061,-2.934,-76,10110100,-2.9299999999999997
0.062,-3.155,-81,10101111,-3.024
0.063,-3.379,-87,10101001,-3.783
0.064,-3.591,-92,10100100,-3.615
0.065,-3.774,-97,10011111,-4.29
0.066,-3.972,-102,10011010,-4.478000000000001
0.067,-4.122,-106,10010110,-4.752
0.068,-4.243,-109,10010011,-4.796
0.069,-4.355,-112,10010000,-4.929
0.07,-4.454,-115,10001101,-5.122
0.07100000000000001,-4.549,-117,10001011,-5.247
0.07200000000000001,-4.613,-119,10001001,-4.606
0.073,-4.664,-120,10001000,-4.864
0.074,-4.703,-121,10000111,-5.079000000000001
0.075,-4.7,-121,10000111,-4.764
0.076,-4.672,-120,10001000,-5.251
0.077,-4.63,-119,10001001,-4.647
0.078,-4.544,-117,10001011,-4.946999999999999
0.079,-4.472,-115,10001101,-4.709
0.08,-4.381,-113,10001111,-5.0329999999999995
0.081,-4.242,-109,10010011,-4.661
